label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67
K,0.0,0.0,0.0,0.2482624351978302,-0.2745725214481354,-0.11819981038570404,0.3285318911075592,-0.6799341440200806,-0.16700376570224762,0.24419355392456055,-0.9892891049385071,-0.22096607089042664,0.1676243096590042,-1.233036994934082,-0.2660837471485138,0.14629597961902618,-1.0390030145645142,-0.09669405966997147,0.17854365706443787,-1.4704231023788452,-0.202161967754364,0.20239540934562683,-1.7167309522628784,-0.26377952098846436,0.21864628791809082,-1.9514397382736206,-0.30552026629447937,-0.045559875667095184,-0.9909387826919556,-0.12635129690170288,-0.14825549721717834,-1.4351437091827393,-0.2809765338897705,-0.18371859192848206,-1.7163519859313965,-0.3681461811065674,-0.2207440286874771,-1.9811307191848755,-0.407816082239151,-0.20637963712215424,-0.8326079845428467,-0.17045395076274872,-0.14810018241405487,-0.9448380470275879,-0.3894802927970886,-0.024342931807041168,-0.6681976914405823,-0.4244677722454071,0.040239568799734116,-0.492989182472229,-0.38701021671295166,-0.32471999526023865,-0.6120237112045288,-0.22170327603816986,-0.265118271112442,-0.70090252161026,-0.38400742411613464,-0.11945336312055588,-0.5320320725440979,-0.39349836111068726,-0.022219855338335037,-0.3907957673072815,-0.3628477454185486,0.5844919681549072,0.9388204216957092,1.0442183017730713,0.4722907543182373,0.4004620909690857
K,0.0,0.0,0.0,0.2482624351978302,-0.2745725214481354,-0.11819981038570404,0.3285318911075592,-0.6799341440200806,-0.16700376570224762,0.24419355392456055,-0.9892891049385071,-0.22096607089042664,0.1676243096590042,-1.233036994934082,-0.2660837471485138,0.14629597961902618,-1.0390030145645142,-0.09669405966997147,0.17854365706443787,-1.4704231023788452,-0.202161967754364,0.20239540934562683,-1.7167309522628784,-0.26377952098846436,0.21864628791809082,-1.9514397382736206,-0.30552026629447937,-0.045559875667095184,-0.9909387826919556,-0.12635129690170288,-0.14825549721717834,-1.4351437091827393,-0.2809765338897705,-0.18371859192848206,-1.7163519859313965,-0.3681461811065674,-0.2207440286874771,-1.9811307191848755,-0.407816082239151,-0.20637963712215424,-0.8326079845428467,-0.17045395076274872,-0.14810018241405487,-0.9448380470275879,-0.3894802927970886,-0.024342931807041168,-0.6681976914405823,-0.4244677722454071,0.040239568799734116,-0.492989182472229,-0.38701021671295166,-0.32471999526023865,-0.6120237112045288,-0.22170327603816986,-0.265118271112442,-0.70090252161026,-0.38400742411613464,-0.11945336312055588,-0.5320320725440979,-0.39349836111068726,-0.022219855338335037,-0.3907957673072815,-0.3628477454185486,0.5844919681549072,0.9388204216957092,1.0442183017730713,0.4722907543182373,0.4004620909690857
K,0.0,0.0,0.0,0.24816861748695374,-0.2740684151649475,-0.12111373245716095,0.32892677187919617,-0.6759685277938843,-0.17439699172973633,0.24944843351840973,-0.9852551817893982,-0.23183827102184296,0.1740332692861557,-1.2262747287750244,-0.2791707515716553,0.15067905187606812,-1.0310099124908447,-0.11068017780780792,0.181024432182312,-1.4636038541793823,-0.22440114617347717,0.20487798750400543,-1.713210105895996,-0.2910705506801605,0.2237013876438141,-1.9521701335906982,-0.33659887313842773,-0.041830938309431076,-0.9893229007720947,-0.1396080106496811,-0.14024215936660767,-1.4270622730255127,-0.30224329233169556,-0.16899974644184113,-1.7052192687988281,-0.39110761880874634,-0.19855771958827972,-1.9679590463638306,-0.4324556887149811,-0.20266129076480865,-0.8374778628349304,-0.18277013301849365,-0.13542097806930542,-0.9577071070671082,-0.4058935344219208,-0.016267037019133568,-0.6781085729598999,-0.4362972378730774,0.043456047773361206,-0.499368280172348,-0.3959265649318695,-0.32022348046302795,-0.6215701103210449,-0.23393364250659943,-0.24991202354431152,-0.7029566764831543,-0.40090033411979675,-0.10894265025854111,-0.5332615375518799,-0.4116019010543823,-0.018190816044807434,-0.39478886127471924,-0.38140982389450073,0.5812112092971802,0.951266348361969,1.03346586227417,0.4693905711174011,0.4054659903049469
K,0.0,0.0,0.0,0.2443457841873169,-0.2710895538330078,-0.114240363240242,0.3302263021469116,-0.6682259440422058,-0.1632990688085556,0.24849849939346313,-0.9662894010543823,-0.2179103046655655,0.16290158033370972,-1.197005033493042,-0.26307860016822815,0.14859364926815033,-1.031433343887329,-0.09838852286338806,0.17664994299411774,-1.4618921279907227,-0.20613723993301392,0.197640523314476,-1.7069504261016846,-0.26809564232826233,0.21294285356998444,-1.943329930305481,-0.31031155586242676,-0.042822059243917465,-0.9904864430427551,-0.13077811896800995,-0.14135292172431946,-1.4366083145141602,-0.2889100909233093,-0.17053727805614471,-1.7110646963119507,-0.3758510947227478,-0.2008020132780075,-1.9748896360397339,-0.41486677527427673,-0.20370697975158691,-0.8365424871444702,-0.17697671055793762,-0.14261694252490997,-0.9582085013389587,-0.39808377623558044,-0.026587897911667824,-0.6731659770011902,-0.4294576048851013,0.032701849937438965,-0.5015396475791931,-0.3885748088359833,-0.32178688049316406,-0.6170212626457214,-0.23018494248390198,-0.2583204209804535,-0.7004305124282837,-0.3931596875190735,-0.11872436851263046,-0.5270604491233826,-0.4016958773136139,-0.029472529888153076,-0.3932831287384033,-0.3701719641685486,0.563525378704071,0.9384069442749023,1.0366840362548828,0.4613998234272003,0.39383095502853394
K,0.0,0.0,0.0,0.2443457841873169,-0.2710895538330078,-0.114240363240242,0.3302263021469116,-0.6682259440422058,-0.1632990688085556,0.24849849939346313,-0.9662894010543823,-0.2179103046655655,0.16290158033370972,-1.197005033493042,-0.26307860016822815,0.14859364926815033,-1.031433343887329,-0.09838852286338806,0.17664994299411774,-1.4618921279907227,-0.20613723993301392,0.197640523314476,-1.7069504261016846,-0.26809564232826233,0.21294285356998444,-1.943329930305481,-0.31031155586242676,-0.042822059243917465,-0.9904864430427551,-0.13077811896800995,-0.14135292172431946,-1.4366083145141602,-0.2889100909233093,-0.17053727805614471,-1.7110646963119507,-0.3758510947227478,-0.2008020132780075,-1.9748896360397339,-0.41486677527427673,-0.20370697975158691,-0.8365424871444702,-0.17697671055793762,-0.14261694252490997,-0.9582085013389587,-0.39808377623558044,-0.026587897911667824,-0.6731659770011902,-0.4294576048851013,0.032701849937438965,-0.5015396475791931,-0.3885748088359833,-0.32178688049316406,-0.6170212626457214,-0.23018494248390198,-0.2583204209804535,-0.7004305124282837,-0.3931596875190735,-0.11872436851263046,-0.5270604491233826,-0.4016958773136139,-0.029472529888153076,-0.3932831287384033,-0.3701719641685486,0.563525378704071,0.9384069442749023,1.0366840362548828,0.4613998234272003,0.39383095502853394
K,0.0,0.0,0.0,0.25196656584739685,-0.2639979124069214,-0.10618391633033752,0.33936643600463867,-0.6762726902961731,-0.14733979105949402,0.2682572305202484,-0.9781481623649597,-0.19623751938343048,0.1913813203573227,-1.2053903341293335,-0.23822078108787537,0.15620264410972595,-1.035333514213562,-0.092567577958107,0.18871787190437317,-1.4673011302947998,-0.19606176018714905,0.21030505001544952,-1.7135460376739502,-0.257112592458725,0.22473163902759552,-1.9538434743881226,-0.3001168370246887,-0.03039969876408577,-0.9912681579589844,-0.12830951809883118,-0.1209648996591568,-1.440171718597412,-0.2792767882347107,-0.1504862755537033,-1.7214800119400024,-0.36423662304878235,-0.18403618037700653,-1.98916757106781,-0.40492990612983704,-0.18959468603134155,-0.8373460173606873,-0.17756153643131256,-0.13125784695148468,-1.0053385496139526,-0.3961907625198364,-0.013968120329082012,-0.7225555181503296,-0.4307135343551636,0.04427584260702133,-0.5396277904510498,-0.39395686984062195,-0.3098081350326538,-0.6179459095001221,-0.23321524262428284,-0.24550066888332367,-0.7446300983428955,-0.4030545651912689,-0.10697250813245773,-0.5710465908050537,-0.4183236062526703,-0.01839594542980194,-0.4187537431716919,-0.3913998305797577,0.5568881034851074,0.9441574811935425,1.0468649864196777,0.4360716640949249,0.3868086636066437
K,0.0,0.0,0.0,0.2473263293504715,-0.26622945070266724,-0.11796872317790985,0.33018314838409424,-0.6745795011520386,-0.16595621407032013,0.25727078318595886,-0.9778311848640442,-0.21980111300945282,0.1863785684108734,-1.2130151987075806,-0.26537495851516724,0.14224998652935028,-1.043404459953308,-0.10141593217849731,0.17440210282802582,-1.4810630083084106,-0.20803135633468628,0.1963300108909607,-1.7327508926391602,-0.2720566689968109,0.21077436208724976,-1.9736138582229614,-0.31663772463798523,-0.04307374358177185,-0.9902710318565369,-0.1323174238204956,-0.13142454624176025,-1.4480284452438354,-0.28216782212257385,-0.15764133632183075,-1.732534408569336,-0.36904245615005493,-0.19109442830085754,-2.002441883087158,-0.4124433994293213,-0.20116575062274933,-0.830310046672821,-0.17772176861763,-0.1428295522928238,-1.014591932296753,-0.39835071563720703,-0.025029318407177925,-0.7302531003952026,-0.43418020009994507,0.03114406205713749,-0.5477765798568726,-0.3983628749847412,-0.319863885641098,-0.6097959876060486,-0.23048917949199677,-0.2544071078300476,-0.7483930587768555,-0.40590694546699524,-0.11323422193527222,-0.5750120282173157,-0.42378270626068115,-0.023654330521821976,-0.42349496483802795,-0.3980262875556946,0.5661067366600037,0.9572385549545288,1.0605990886688232,0.427171528339386,0.38796499371528625
K,0.0,0.0,0.0,0.2473263293504715,-0.26622945070266724,-0.11796872317790985,0.33018314838409424,-0.6745795011520386,-0.16595621407032013,0.25727078318595886,-0.9778311848640442,-0.21980111300945282,0.1863785684108734,-1.2130151987075806,-0.26537495851516724,0.14224998652935028,-1.043404459953308,-0.10141593217849731,0.17440210282802582,-1.4810630083084106,-0.20803135633468628,0.1963300108909607,-1.7327508926391602,-0.2720566689968109,0.21077436208724976,-1.9736138582229614,-0.31663772463798523,-0.04307374358177185,-0.9902710318565369,-0.1323174238204956,-0.13142454624176025,-1.4480284452438354,-0.28216782212257385,-0.15764133632183075,-1.732534408569336,-0.36904245615005493,-0.19109442830085754,-2.002441883087158,-0.4124433994293213,-0.20116575062274933,-0.830310046672821,-0.17772176861763,-0.1428295522928238,-1.014591932296753,-0.39835071563720703,-0.025029318407177925,-0.7302531003952026,-0.43418020009994507,0.03114406205713749,-0.5477765798568726,-0.3983628749847412,-0.319863885641098,-0.6097959876060486,-0.23048917949199677,-0.2544071078300476,-0.7483930587768555,-0.40590694546699524,-0.11323422193527222,-0.5750120282173157,-0.42378270626068115,-0.023654330521821976,-0.42349496483802795,-0.3980262875556946,0.5661067366600037,0.9572385549545288,1.0605990886688232,0.427171528339386,0.38796499371528625
K,0.0,0.0,0.0,0.25210893154144287,-0.2728040814399719,-0.12348783761262894,0.3272537291049957,-0.686058521270752,-0.17519547045230865,0.2472783625125885,-0.9958405494689941,-0.23268626630306244,0.16683901846408844,-1.2379779815673828,-0.28111618757247925,0.13446901738643646,-1.0434848070144653,-0.10804051160812378,0.16798198223114014,-1.4895484447479248,-0.22426044940948486,0.19246716797351837,-1.7493081092834473,-0.2928037643432617,0.20980240404605865,-1.9920920133590698,-0.33905038237571716,-0.052828479558229446,-0.9891417026519775,-0.13714179396629333,-0.1462085098028183,-1.4471021890640259,-0.3010575771331787,-0.175212100148201,-1.7391724586486816,-0.392347514629364,-0.2088615447282791,-2.007556676864624,-0.43601271510124207,-0.20816537737846375,-0.8286881446838379,-0.18156205117702484,-0.1546695977449417,-1.018986701965332,-0.41466546058654785,-0.034124694764614105,-0.7269348502159119,-0.450199693441391,0.026845190674066544,-0.5337549448013306,-0.41041719913482666,-0.32389208674430847,-0.607577919960022,-0.23364731669425964,-0.2560822069644928,-0.7313772439956665,-0.4186592996120453,-0.11521244049072266,-0.5564703941345215,-0.43931499123573303,-0.023955458775162697,-0.4064755141735077,-0.413034051656723,0.5844374895095825,0.9792325496673584,1.072771668434143,0.4411238431930542,0.40321677923202515
K,0.0,0.0,0.0,0.25210893154144287,-0.2728040814399719,-0.12348783761262894,0.3272537291049957,-0.686058521270752,-0.17519547045230865,0.2472783625125885,-0.9958405494689941,-0.23268626630306244,0.16683901846408844,-1.2379779815673828,-0.28111618757247925,0.13446901738643646,-1.0434848070144653,-0.10804051160812378,0.16798198223114014,-1.4895484447479248,-0.22426044940948486,0.19246716797351837,-1.7493081092834473,-0.2928037643432617,0.20980240404605865,-1.9920920133590698,-0.33905038237571716,-0.052828479558229446,-0.9891417026519775,-0.13714179396629333,-0.1462085098028183,-1.4471021890640259,-0.3010575771331787,-0.175212100148201,-1.7391724586486816,-0.392347514629364,-0.2088615447282791,-2.007556676864624,-0.43601271510124207,-0.20816537737846375,-0.8286881446838379,-0.18156205117702484,-0.1546695977449417,-1.018986701965332,-0.41466546058654785,-0.034124694764614105,-0.7269348502159119,-0.450199693441391,0.026845190674066544,-0.5337549448013306,-0.41041719913482666,-0.32389208674430847,-0.607577919960022,-0.23364731669425964,-0.2560822069644928,-0.7313772439956665,-0.4186592996120453,-0.11521244049072266,-0.5564703941345215,-0.43931499123573303,-0.023955458775162697,-0.4064755141735077,-0.413034051656723,0.5844374895095825,0.9792325496673584,1.072771668434143,0.4411238431930542,0.40321677923202515
